关键词,博主,内容,日期,点赞数,评论数,转发数
上班,奶舅_吴斌,嗯，一岁以前多抚触和各种外部刺激尝试了解孩子哭闹可能的原因，不一定每次哭闹都抱进怀里，这种环境里成长的孩子确实会更容易自玩自的//@所以你要吃烤肠吗:我儿子刚刚过四周岁生日，我自己带到八个月了上班，月子里除了喂奶什么的，不然基本不抱，之后都不粘人，从小就可以自己玩自己的,2020-01-02,4,4,1
上班,文起尘,流感高发期，抗病毒第三夜，为人父母，苦。孩子不肯吃药，愁人，连加药的奶粉都不喝了。退热贴+退热栓。也只好如此了。可怜两个上班🐶，连请假都是奢侈。 ,2020-01-03,0,0,0
上班,奶舅_吴斌,太可爱了，记得再告诉孩子赚钱很辛苦，爸爸回来要跟他说：爸爸上班辛苦啦。老父亲肯定热泪盈眶，更积极陪孩子成长了//@小鸡冲鸭xiu:2岁9个月，黏爸爸，以前爸爸出门上班都会哭，后来好了，告诉宝宝爸爸要挣钱！每次出门都会说再见！,2020-01-03,6,4,0
上班,人五_,好好上班，经济独立，保持美貌，多睡帅哥。,2020-01-04,674,69,104
上班,江涵秋影,哎，双休日结束，明天又要上班了。 ,2020-01-04,0,0,0
上班,人五_,因为今年有好朋友被骗，所以忍不住说两句。年轻人最好先老老实实上班，了解一个领域一个行业之后再尝试创业。一开始就创业的话也最好选择自己熟悉的领域和项目，肯吃苦，从头慢慢一个案例一个案例成功做出来去积累，真的花功夫花时间去学懂一个什么，学会一个什么。谈工作和合作好好在写字楼办公室 ...全文,2020-01-05,1805,139,183
上班,霞勇同心,《老照片：没有互联网，70年代人们这样了解资讯》每天起床几件事，洗脸刷牙吃早饭，现在多数人估计都多了一项业务，那就是拿起手机了解资讯。朋友圈也好，新闻app也罢，上班了也少不了电脑网页浏览一下。在80年代，人们还少不了读书看报。网页链接 ,2020-01-06,0,0,0
上班,江涵秋影,【下雨】晚上又下雨了。上午还短暂出了太阳呢。早不下晚不下，偏偏选择我出门上班的时间下。虽然只是小雨，雨势并不很大，只比毛毛雨稍微大一点，但很快就打湿了衣衫，今天气温又比较高，湿衣服贴在身上很难受。 ,2020-01-06,0,0,0
上班,江涵秋影,明天：9点整抢音乐会门票、上午校对《台报传媒》杂志并去单位送还给主任、去超市单位元旦福利提货、单位食堂吃饭、中午12点抢回家车票、下午预约11日捐献血小板、跑步、洗衣服、拆快递包裹、网购、买书买杂志、去文化馆参观展览、上班、接收和打印供电公司书稿。 ,2020-01-07,0,0,0
上班,江涵秋影,因为做党代会特别报道，已经快凌晨1点了，还没有下班，可能至少要到2点钟了，明天还有一天。我上班时最怕遇到重大会议了。 ,2020-01-07,0,0,0
上班,Kelly酱酱酱酱,@kathykatiekay 我希望跟这个王八羔子（myjj女神姐姐）一起住//@黄艺伟:转发此条视频并@ 一个好友，抽取一个王八羔子免费入住一次，天数随你住（反正你旅游签证最多也就30天） 因为今天日本刚刚放完年假上班。现在屋子已经住了人了，房内照片那些需要等这个客人退房之后才能拍。,2020-01-07,0,0,0
上班,江涵秋影,双休日结束，明天又要开始上班了。还有十几天就要回家过年了。 ,2020-01-11,0,0,0
上班,孤沽,//@袋鼠张大锤:就还是我说过的问题，你进入相亲市场，本质上是把自己当成货来卖。不是说不能卖，毕竟上班的本质也是卖自己。而是说在这个市场的交易目标，是女人的生育价值换男人的经济价值。你追求男女平等，就不应该在相亲市场找。爱情，平等，这些跟婚姻都没关系，婚姻的本质是经济合同,2020-01-11,44,14,17
上班,江涵秋影,吃完饭，到单位上班，先喝一盒蒙牛酸酸乳。 ,2020-01-12,0,0,0
上班,江涵秋影,今天下班相对较早，11点50分就结束了，11点53分签退。单位门口取车，就是我上班时停放在那的那辆，午夜时分，外面有点冷，把连衣帽戴上，要好点，其实还是应该把围巾戴上的。12点10分回来。明天又是新的一周开始。 台州 ,2020-01-13,0,0,0
上班,小短腿夏酱,啊啊啊啊感觉整个人进入了放假状态，虽然快递还有但是不想卖货不想发货了，就想躺着等过年，虽然过年也没什么好玩但是主要就想躺着。半个月前就开始婉拒所有团购所有推广了，我下班了明年再上班！ ,2020-01-14,48,14,0
上班,小短腿夏酱,哈哈哈哈哈刷到两年前春节前我们阿姨放假了我还在上班，老公独自带娃两天，这个战绩让他骄傲至今。,2020-01-14,28,10,1
上班,Dingykkk,老板你别看我现在这个样子，我真的是来上班的 ,2020-01-16,365,559,1
上班,iBingo,明天周天，可是还要上班，原打算去故宫的#明天还上班# ,2020-01-18,22,7,0
上班,侃侃而谈zp,#明天还上班#  明天还上班？当然了，好多人年终奖还没到手呢     不过预计好多人即使还在岗位上，也会出现“身在曹营心在汉”的状态，办理正儿八经稍微复杂一点的事情估计也不合适了      但我明天会非常忙，还是很关键的一天[加油] ,2020-01-18,2,2,0
上班,慕小月moon,#明天还上班#花期将至 ,2020-01-18,242,42,24
上班,井冈山的斗争,星期六中午通知加班 下午两点干到晚上十二点收拾完一点睡觉 星期天六点起来上班 到现在还没下班 已经不间断工作了34小时了纳税人的钱绝对不白花 ,2020-01-20,2,19,0
上班,江涵秋影,明天：上午去文化服务中心提货、中午聚餐、下午到单位参加全体员工大会、晚上去市文化馆诸子艺术空间参观展览、去三楼艺工场看电影、晚上上班、初步收拾行李。 ,2020-01-20,0,0,0
上班,MrKetchup,//@午后狂睡:有人问发生这种事医务人员为什么不罢工？这张图足够回答你了。昨天刚被砍伤，今天依旧坚持上班，难道他不应该休息吗？还不是因为放不下自己病人？真罢工了，等着救治的病人怎么办？麻烦各位了，请对医护人员多一点尊重和爱护。,2020-01-21,0,0,1
上班,江涵秋影,上午提货。中午聚餐。下午开会。晚上前半夜看电影，后半夜上班。下班后收拾行李。明天回家。 ,2020-01-21,0,0,0
上班,小短腿夏酱,diss我的网友还说：让我背锅是因为觉得我是全职妈妈，爸爸要上班，所以教养责任在我。听起来就像是，爸爸上的班永不下班，全职妈妈这份工作也没得下班一样。我觉得就算家庭分工不同，爸爸和妈妈都有养育责任。不然只用完美妈妈来对标全职妈妈，所有错都是妈妈的错，那怎么不用比尔盖茨来对标职场 ...全文,2020-01-22,136,45,4
上班,乔乔eureka,还没步入社会的各位请想一想：一个人上班是为了交朋友吗？,2020-01-23,33,10,4
上班,人五_,我一直在想过完年大家咋办，不上课不上班就一直这么待着？ 唉，希望早点控制。 ,2020-01-23,1546,221,17
上班,张健胖胖,问题是，这两天口罩用完了，去哪再买？上班咋办？ ,2020-01-25,3,10,0
上班,地平线评论,最神烦三件事：一是比赛式捣乱，不管实际情况如何，到处嚷嚷“封城啊，快点！”，“别上班，全都停下，建议全国推广！”“公布人员信息，发动人民监督。”二是家中老人，他跟你说都是事态严重，天塌地陷，世界末日的感觉；你跟他说出门戴个口罩，他就来个富贵有命，生死看天，默默点上一根烟。三 ...全文,2020-01-26,1,1,0
上班,木涉,然后我就接到了明天上班的通知 ,2020-01-26,0,4,1
上班,澄泓-研究君,#被感染医护人员向镜头比OK# 很多省已经宣布省际和市际客运停运了，不少城市学校也宣布延期开学，估计假期会延迟结束的，估计明后天会有明确消息出来，毕竟如果正常上班，订票或者准备也需要时间缓冲。。#正月十五前武汉疫情可能出现拐点##新型冠状病毒潜伏期也有传染性# ,2020-01-26,6,0,0
上班,小短腿夏酱,不懂就问：这时候叫公务员提前回去上班干啥啊？除了有些部门有必要以外，其他的不是增大互相感染几率吗？ ,2020-01-26,284,117,3
上班,理想工人,这几天也没人关心这个雾霾了，可是马路上也没车，人们也没上班，过年不开工，这个雾霾的化学成分是什么，怎么来的？ 天津·南开大学西南村 ,2020-01-27,1,1,0
