关键词,博主,内容,日期,点赞数,评论数,转发数
办公室,江涵秋影,《路桥文史》杂志还没有校对完成，下午4点，传媒研究所主任又发信息过来，说《台报传媒》杂志第四期做好了，让我去印得高取。4点多骑车很快取回，两本，一本送其办公室，一本我校对用。没说什么时候要， 根据以往经验，估计应该是下周一上午给他。晚上交还了《路桥文史》，明天就可以接着校对《台报传 ...全文,2020-01-02,0,0,0
办公室,卡斯卡耶夫斯基,想不通！为什么我在理发店会变怂！我堂堂男子汉大丈夫，下至美甲店中至连卡佛上至校长办公室，从来铁骨铮铮！为什么从不敢直视托尼老师的眼睛！为什么！ ,2020-01-03,6,6,0
办公室,人五_,因为今年有好朋友被骗，所以忍不住说两句。年轻人最好先老老实实上班，了解一个领域一个行业之后再尝试创业。一开始就创业的话也最好选择自己熟悉的领域和项目，肯吃苦，从头慢慢一个案例一个案例成功做出来去积累，真的花功夫花时间去学懂一个什么，学会一个什么。谈工作和合作好好在写字楼办公室 ...全文,2020-01-05,1805,139,183
办公室,邢立达,我办公室的龙龙呀呀呀……,2020-01-05,1183,104,13
办公室,江涵秋影,明天：去路桥将台州供电公司书稿送还、单位食堂吃午饭、中午继续在椒江区总工会微信公众号上抢春节回家车票、办公室上网挂QQ、去影院看电影、关注和接听血站预约电话、去台州图书大厦买几本书、去中山西路服装店买裤子、洗衣服、晚上吃饭、去台州文化艺术中心剧场欣赏新年音乐会、回来继续跑步。 ,2020-01-09,1,0,0
办公室,江涵秋影,【2020年1月9日】本周最后一个工作日。9点半醒。11点出门去单位吃饭，把昨天上午在单位文化服务中心买的一袋巧克力糖带去放办公室备吃。刚到楼下，准备开锁哈罗单车，接到电话，说把供电公司的书稿发来，让我尽快完成，明天晚上送去，接打电话过程中，来回走动，一个不小心额头还撞到了墙上。11点50分 ...全文,2020-01-09,0,0,0
办公室,邢立达,哇，它的下场被我办公室的这堆好多了。,2020-01-10,788,101,11
办公室,乔乔eureka,//@包特_实验经济金融://@狸角兽:哈哈哈哈，我怎么关注了这么可爱的一群老师→_→//@明涛ECON:补完回头数，还差一十五。怆然而涕下，丹心变黄土。//@王有财先生办公室:期末批卷苦，一批一下午，卷面分不够，全靠平时补。//@狸角兽:大学老师数了数你的分数 你快不及格了，挠着稀疏的,2020-01-13,3,1,5
办公室,胡锡进,在革命卫队承认发导弹误击客机后，伊朗局势突然转向，多个城市出现以青年学生为主力的示威活动。美国方面高调声援伊朗示威者，特朗普总统相关内容的推特甚至前所未有地使用了波斯文。中国国内也有一些人为伊朗的示威活动欢呼，星期二中国社交媒体上有一则传闻，称伊朗最高领袖哈梅内伊的办公室被示威 ...全文,2020-01-14,8592,2151,303
办公室,江涵秋影,【2020年1月15日】全天下小到中雨，上午至中午有一段时间停，1点多继续下。八九点醒。11点出门去单位吃饭，红烧鱼、黄瓜炒蛋、豆腐木耳虾干、咸菜汤，13元。吃完饭，中午骑公共自行车去市民广场的台州城市规划展览馆参观。1点半回单位，上网，挂QQ，吃巧克力，给水壶灌满开水。近2点离开办公室去行政楼 ...全文,2020-01-15,0,0,0
