关键词,博主,内容,日期,点赞数,评论数,转发数
医院,iBingo,#不明原因肺炎患者转入传染病医院#还是那句话，正式通告出来之前，不信谣，不传谣。希望在座的各位谨言慎行。 ,2020-01-02,5,0,0
医院,江涵秋影,今天才搞清楚，台州医院路桥院区和恩泽医院路桥院区原来是两家不同的医院，尽管它们都在路桥。 ,2020-01-05,0,0,0
医院,iBingo,#南宁率先推行医院安检#前车之鉴，不要伤了每一个医护人员的心。建议全国推广。 ,2020-01-08,36,2,1
医院,听说我要叫小呆,我参与了@央视新闻 发起的投票【医院实行“先安检后看病”，你支持吗？】，我投给了“支持，建议全国推广”这个选项，你也快来表态吧~虽然有点麻烦，但为了不让医生寒心，这种麻烦就近期来讲不可免。遇到紧急病情的，病患可以不安检，家属一定要！,2020-01-09,0,0,0
医院,时清复日长,非常支持 医院里面的各种器具也要严格保管 多增加安保人员,2020-01-09,0,0,0
医院,江涵秋影,天比较冷，加上手机比较卡，开锁一辆共享单车需要耗费很长时间，就想着还是坐公交车去单位吧。走到中山西路，一辆138路开过去，心想不好下一辆估计要很久了，走到站台一看电子显示屏，果然，还有近4公里，倒是128路快进站了，只好先坐128，到市立医院东站下，准备换乘123路，结果，电子显示屏上没有这 ...全文,2020-01-12,1,0,0
医院,K-ill-joy,我的厌男症是不会好了，恶臭//@安定医院郝医生://@顾惜之://@好茶贪香又恋花: 吐了！ //@延期五月:……………艹//@二五__可以读成嗷呜://@午间新蚊 :还以为是一群屌小又自卑的边缘男性在这报团取暖呢，点进去一看这贴吧居然能有18万人？？,2020-01-14,0,0,0
医院,阿喔牛,泰山压顶！（驻舟海军866岱山岛号和平方舟医院船） ,2020-01-14,2,1,0
医院,iBingo,#澳大利亚临时考拉医院#一只名为比利的考拉，它的四只爪子被烧焦了，不过幸运的是，它被志愿者救出送到了阿德莱德考拉营救中心。这是南澳大利亚最大的经验丰富，且富有奉献精神的考拉护理志愿者和救援者组成的团体。在这里，每天都有护理人员的细致关怀和治疗，火灾下温馨的一幕 ,2020-01-15,19,5,2
医院,麻烦煤球麻圆毛线米罗筐枫杨树,这是个专业特别烂的诉棍吧，先说发微博骂派出所，其实是自己弄不清楚，然后删了还拍马屁，然后弄不清验伤医院流程，还大嗓门的到处在医院大喊我这有受害人?然后骂医生是屠夫?什么操作,2020-01-15,0,0,0
医院,iBingo,“民航总医院杀医案”一审宣判孙文斌故意杀人被判死刑，这也算是对逝者最大的慰藉了。奈何犯人死不足惜，杨文医师走好 ,2020-01-16,25,1,0
医院,SD下海的杨大夫,2005年珞珈科学冬令营，经管组。到武汉第一天就开始发烧，顶着39℃多高烧考的试，还在校医院打了2天吊针。直到回家才算好利索。,2020-01-16,1,11,0
医院,一只蹦蹦跳跳的尤物,我特么冲完浪，刚上岸，就收到了@孤沽 出车祸被送进医院的消息………… ,2020-01-18,45,51,0
医院,孤沽,大家别担心，我已经没事啦。我们刚开的摩托，刚转完弯摩托和皮卡挨太近了，一个没注意我脚露在外面被皮卡和摩托车身夹住擦了几秒钟。但司机Nick人特别好，毫无怨言载着我去了当地最大的医院，还一言不发帮我把药费付了。他还开玩笑跟我说他也是第一次来这样大的医院，因为太贵了，本地人是不会去的。 ...全文,2020-01-18,76,68,0
医院,K-ill-joy,//@有盐电影:无力//@战争史研究WHS:生命无大碍，左手掌（一说左手臂）横断。作为一个留德归来的优秀人才，朝阳医院技术水平最高的眼科医生，职业生涯是结束了//@新侨联委员:已经被袭，正在抢救了！//@米格战斗飞机联合体:转发微博,2020-01-20,0,0,0
医院,阮冬冬冬,//@谷大白话://@M大王叫我来巡山://@辣条娘://@Tiger公子://@神猫罗尼休: //@古月三昧:昨天我爸问我：你知道当年非典我们医生群体没了多少人吗？我答不上来。后来发现占非典死亡总人数的1/3//@绿山儿:当年北大人民医院因医护人员多数被感染，医院失去救治能力，史上第一次停诊闭院,2020-01-20,0,0,0
