关键词,博主,内容,日期,点赞数,评论数,转发数
口罩,邢立达,这是学校很久前发的口罩，好像已经过期了,2020-01-02,1663,95,3
口罩,追星女孩的日记,#周冬雨戴口罩领奖# 周冬雨跟黄子韬太搞笑了哈哈哈哈黄子韬把周冬雨抗起来结果王彦霖更狠 追星女孩的日记的微博视频 ,2020-01-08,12,1,1
口罩,侃侃而谈zp,#武汉新增4例新型冠状病毒肺炎病例#   武汉新增4例新型冠状病毒肺炎病例。。。      这种新型冠状病毒的DNA不是搞清楚了吗？针对性治疗方案现在的可靠性怎么样？治愈的和病故的病例治疗和个体免疫力方面的差异有多大？      目前武汉市民还是尽其所能地做好预防工作吧，口罩和生活、工作以及公众场合 ...全文,2020-01-18,5,1,2
口罩,一条正弦可爱多,武汉肺炎越来越严重了，快递快停运了，建议大家年前多囤点口罩吧。普通医用口罩，能防飞沫传播的即可。 沈阳 ,2020-01-19,3,3,0
口罩,侃侃而谈zp,#上海肺炎#  上海肺炎，深圳肺炎。。。深圳的没去过武汉，上海的还在等进一步消息确认🙏     2019年是超级暖冬，气候确实反常得不像话这种反常气候，是比较容易滋生疫情的。还是应该提高警惕吧，该买的口罩买起来，医用的那一种；也要常洗手     政府和民间，小心驶得万年船总归是不错 ...全文,2020-01-19,12,3,2
口罩,一条正弦可爱多,买口罩 买口罩 买口罩就算退一万步这个病毒最后啥事没有 你买点口罩防雾霾不好吗N95口罩或者医用口罩！#武汉新增136例新型冠状病毒肺炎病例# ,2020-01-20,11,0,0
口罩,Dingykkk,太可怕了吧，去了三家药店别说N95了，普通口罩都没得卖了... ,2020-01-20,257,323,0
口罩,胡锡进,#胡侃# 今天全国的武汉肺炎确诊病例达到了217例。小心些吧，虽然不很清楚病毒的传染方式，但出门多带口罩，回家多洗手总不会有错。同时也不至于真的认为“非典又来了”，按照“非典模式”自我管束。我们的一生会碰到各种事情，别什么都不当事，也别一碰上事就被吓着。 胡锡进的微博视频 ,2020-01-20,4865,885,503
口罩,卡斯卡耶夫斯基,狂买了四百块钱的口罩！人虽然做好了随时去死的觉悟，大半夜里时常寻思活着真没劲，搁精神科医生面前一把鼻涕一把泪地倾诉自杀欲望，但这种时候我躲得比谁都快！防风打火机防风但不防傻逼吹，要真的被傻逼同胞感染了，病死之前我能踏马的先气死！ ,2020-01-20,16,0,0
口罩,鱼里麻里,走啦～大家过年出行要注意安全哦（人群密集场所戴好口罩） ,2020-01-20,28,10,0
口罩,孤沽,临近春节，你们要记得注意饮食和卫生，去人流量大的地方注意做好安全防护。//@楚惜刀:别吃野味，猫狗别散养，勤洗手，戴口罩，多通风。记得那年SARS到处都是白醋的味道，大家觉得自己像小笼包。,2020-01-20,30,5,20
口罩,井冈山的斗争,此刻 卧铺上的我戴着口罩 感觉要憋死了,2020-01-21,1,0,0
