关键词,博主,内容,日期,点赞数,评论数,转发数
吃饭 早饭 午饭 晚饭 夜宵,江涵秋影,岁末年初，各大APP和网络平台纷纷推出各种版本的个人账单、报告等，今天看了我的支付宝2019年度账单，震惊不已，居然花了这么多钱，真是不查不知道，一查吓一跳。虽然不吸烟喝酒赌博炒股打游戏看直播打赏养宠物，也没有生病就诊，但房租水电卫生费、吃饭点餐、零食饮料、买衣服鞋袜箱包和日用品、坐公 ...全文,2020-01-01,1,0,0
吃饭 早饭 午饭 晚饭 夜宵,用户6520030499,你在吃饭 而我在健身所以请放下手里的鸡腿儿 ,2020-01-01,1213,536,13
吃饭 早饭 午饭 晚饭 夜宵,一只蹦蹦跳跳的尤物,摸鱼睁开眼的第一个新年提问：「如果我给自己剪一个齐刘海儿，你还会爱我吗。」中午出去吃饭，她许下了新年愿望：「我希望我脑子能好一点。」唉，突然有种从福利院领了个傻儿子的感觉。 ,2020-01-01,117,22,0
吃饭 早饭 午饭 晚饭 夜宵,飞翔的小月半月半,#杭州美食#杭州美食推荐超话不可辜负的美食超话#带着微博去旅行#微博吃货秀超话#鲜城杭州美食##不可辜负的美食超话#用美食说我爱你超话放假了，去西溪湿地游玩，从北门入口进入不用买票。在这里打发闲暇时光还是很惬意的，逛饿了附近找家店吃饭。隐西溪，就在那个大大的氦气球旁边， ...全文,2020-01-02,10,2,0
吃饭 早饭 午饭 晚饭 夜宵,人五_,一段好的关系永远是平衡的，特别是和富二代。下午陪朋友买衣服，在maxmara买了大衣又去耐克买羽绒服，拿不下让我帮她拿。我说，不可能，我是大明星。她说，我晚上请你吃饭。我马上接过来拿着，晚上请我吃了龙虾面，打车到她家把东西放了，我说你送我去车站吧。她说你自己走吧，我懒得出门不 ...全文,2020-01-02,2245,174,47
吃饭 早饭 午饭 晚饭 夜宵,江涵秋影,晚上继续在单位食堂吃饭，芋头、花椰菜和大白菜，7元。芋头和花椰菜不够软烂，和生的没什么区别，切得又很大块，简直没法吃；芋头也存在同样的问题，外面还好，里面太硬。只有大白菜还可以。 ,2020-01-02,0,0,0
吃饭 早饭 午饭 晚饭 夜宵,江涵秋影,今天是工作日，还以为是节假日呢，该死的元旦把我的生物钟都弄乱了。刚晴了两天，今天又转阴了，好在气温继续回升，不冷，还稍微有点闷热。午饭到单位食堂吃，土豆条、青椒炒蛋，还有一个菜不知道是什么瓜，蒲瓜冬瓜丝瓜都不太像。一共9元。吃完饭到办公室，打开电脑，继续校对还没有完成的《路桥文史 ...全文,2020-01-02,0,0,0
吃饭 早饭 午饭 晚饭 夜宵,伟玲lin,这几天弟弟过来广州了突然觉得自己真的很需要陪伴因为觉得有人陪着说说话聊聊天真好或是吃饭时候突然想看电影就可以立马买票有人陪着看～当然也是要聊得来的才觉得好今年的第一部电影《误杀》挺不错～一开始看就非常投入，所以觉得很压抑很不希望有什么不好的事情发生在这一家人身上虽然是 ...全文,2020-01-03,0,2,0
吃饭 早饭 午饭 晚饭 夜宵,小短腿夏酱,#家有饭渣# 夏夏每天清晨会要喝奶，喝完了早饭也不怎么吃，偶尔心情好吃半个鸡蛋，就去日托了。中午不吃饭。下午睡醒如果是包子就吃一点。一直能扛到晚上回家吃晚饭，也是吃几口就跑了，等到阿姨吃完了再慢慢喂她。很多人说娃不吃饭饿一饿就吃了，但是我已经狠狠心，从她上日托就不管她吃不吃 ...全文,2020-01-03,50,146,4
吃饭 早饭 午饭 晚饭 夜宵,江涵秋影,【2020年1月4日】双休日第二天。上午10点醒。午饭吃杂酱面、卤蛋和酸梅汤。下午收到单位“台报进行时”短信多条。晚饭吃鸡排套餐，配菜有土豆丝和包菜。晚上洗澡。全天大部分时间阴天，晚上开始下小雨；气温较高。全天未出门，更未去单位。未骑哈罗单车。衣服未洗。《台报传媒》杂志第四期暂时未校对。 ,2020-01-04,1,0,0
吃饭 早饭 午饭 晚饭 夜宵,孤沽,再也不在健身前吃饭了，警钟为将死之人长鸣。 孤沽的微博视频 ,2020-01-04,32,31,0
吃饭 早饭 午饭 晚饭 夜宵,澄泓-研究君,【怎么才能把裁员说的清新脱俗，还能在网上赢得一片喝彩？】 华为：放弃平庸员工。 腾讯：结构性优化。 百度：鼓励狼性，淘汰小资。 蔚来：局部优化，提高运营效率。 科大讯飞：提前吃饭的员工需要被优化。京东：淘汰掉因身体原因不能拼搏的员工。 马云：未来每年，将会向社会输出1000名，在阿 ...全文,2020-01-05,25,5,5
吃饭 早饭 午饭 晚饭 夜宵,江涵秋影,单位食堂周六周日本来是不提供夜宵的，但明天要召开党代会，所以有。 ,2020-01-05,0,0,0
吃饭 早饭 午饭 晚饭 夜宵,流浪是我撒的谎,肖战加油 好好吃饭 一起走花路  //@大地影院: #肖战为你开小灶# 恭喜开小灶喜提代言人@X玖少年团肖战DAYTOY ！pick@统一开小灶 关注@大地影院，转发本条微博，1 月 14 日抽 1 位粉丝送出【肖战限量周边明信片+手账本 】1 份！据说转评赞原文会提高中奖率噢！#肖战# 查看话题详情,2020-01-06,0,0,0
吃饭 早饭 午饭 晚饭 夜宵,流浪是我撒的谎,肖战肖战肖战  以后也要多吃饭，一起走花路//@幸运桃子酱: #肖战为你开小灶# 恭喜开小灶喜提代言人 @统一开小灶 和小桃来助力！关+转，1.14日抽1位送【肖战限量周边礼品 】1份！(抱枕+明信片+手账本),2020-01-06,0,0,0
吃饭 早饭 午饭 晚饭 夜宵,流浪是我撒的谎,肖战肖战肖战  以后也要多吃饭，一起走花路,2020-01-06,0,0,0
吃饭 早饭 午饭 晚饭 夜宵,霞勇同心,《老照片：没有互联网，70年代人们这样了解资讯》每天起床几件事，洗脸刷牙吃早饭，现在多数人估计都多了一项业务，那就是拿起手机了解资讯。朋友圈也好，新闻app也罢，上班了也少不了电脑网页浏览一下。在80年代，人们还少不了读书看报。网页链接 ,2020-01-06,0,0,0
吃饭 早饭 午饭 晚饭 夜宵,江涵秋影,【单位夜宵】银耳汤、莲子汤、三鲜炒河粉、水饺、蛋糕、香蕉、苹果以及各种调味品和配料，这是今天晚上单位食堂夜宵的品种。这是我在报社工作10年来最好的夜宵，没有之一，几乎都是我的最爱。无论是品种数量还是类别（涵盖了主食、汤、甜点、水果）甚至供应时间（22至24点）这三个维度都是，不夸张地说 ...全文,2020-01-06,0,0,0
吃饭 早饭 午饭 晚饭 夜宵,江涵秋影,【小吃】晚上7点多出门，到楼下的台州特色小吃店吃饭，一个爆浆鸡排汉堡，一份麻糍煎蛋，一杯香芋奶茶，就这几样简单的东西，老板却做了很久。价格还不便宜，要17元。味道也不怎么样。以后还是少吃为妙。 ,2020-01-06,0,0,0
吃饭 早饭 午饭 晚饭 夜宵,一只蹦蹦跳跳的尤物,吃饭正好聊到，问一下，你们大学的时候你们生活费多少？哪个城市？（或者现在读大学的生活费多少）我朋友说现在大学生生活费一个月四五千？？ （我觉得2500-3000是普遍的？） ,2020-01-06,733,500,12
吃饭 早饭 午饭 晚饭 夜宵,孤沽,早安！！我简直不能再健康了，自己在做早饭🥣昨天看你们评论，褪黑素对我来说是真的非常有用，昨天我入睡时间1点50的样子，今天6点50神清气爽自然醒了，心情超级美！每个人用褪黑素效果也不一样，失眠的朋友酌情考虑，之前朋友吃之后属于睡得快，但一觉起来昏昏沉沉，也有人吃了不太管用的，毕竟 ...全文,2020-01-06,61,42,2
吃饭 早饭 午饭 晚饭 夜宵,人五_,好呀，在干嘛？起床了吗？我今天睡到十点才醒，午饭吃的沙拉，想再瘦一点，见你的时候就可以好看一点。下午看了几集电视剧，晚上买了超市的汉堡排来煎，很好吃，我吃了两块。你呢，你今天几点起床，干了什么？又吃了些啥？我晚上一个人躺在床上，总是忍不住去想你起床的样子，你看书的样子，你发 ...全文,2020-01-07,1530,307,141
