关键词,博主,内容,日期,点赞数,评论数,转发数
复产,一只蹦蹦跳跳的尤物,昨天我们准备从国外拉过来，但运输报关各种，周期太长，估计到的时候国内就回复产能了意义不大，我先集中精力搞捐助，这波我弄完如果还缺，我再帮你们想办法。//@踢踢的喉结:老尤能不能整点口罩上来给粉丝抢？到处都买不到口罩好难啊 不是疫区的人更缺口罩,2020-01-30,56,32,0
复产,江涵秋影,疫情拐点显现，无论是全国、浙江还是台州，确诊病例都逐渐下降，治愈人数不断上升。社会管控方面，政策逐渐松动，两天一次出行改一日一次，再到今天改为不限次数，各行各业逐步复公复产，出租车、公交车逐渐有序恢复，街上的行人和车辆慢慢多起来了，不像刚回到台州那几天一样，简直如同鬼城一般，人气 ...全文,2020-02-18,1,0,0
复产,澄泓-研究君,真是太难为武汉人民了。。大家都忍忍吧#强制休息令##韩国前总统李明博二审获刑17年##复工复产和稳岗就业工作情况# ,2020-02-19,17,8,1
复产,胡锡进,#胡侃# 老胡今天通过视频参加史无前例的电视电话会议，直接听总书记关于统筹防控疫情和复工复产的重要讲话，真是与平时听传达领导人的讲话，感觉很不一样。希望这样的会议形式以后还会有。 胡锡进的微博视频 ,2020-02-23,3986,0,825
复产,胡锡进,这两天，中国多地出现餐饮消费、赶集的热潮，有的景点也出现拥挤。这些不属于复工复产的优先领域，如此的人群聚集风险太高，应当紧急叫停。请各地民众切记武汉湖北仍形势紧张，各地节后回程的风险还未充分释放，大家千万不要以为疫情已经过去了，继续提高警惕，首先是对自己和家人负责。我看到视频中 ...全文,2020-02-23,15083,2990,1802
复产,侃侃而谈zp,#6省应急响应级别降低#  六省应急响应级别较低     这足证抗疫的形势出现很大好转，复工复产大潮正在全面展开[加油]      目前情况下，抗疫复工要两不误，需要政府和企业继续咬定青山不放松，更加细致和周到地做足支撑服务的工作[加油]     牢记领导的指示，必须“不获全胜，决不轻言成 ...全文,2020-02-24,3,2,1
复产,澄泓-研究君,鼓励复工复产!之前股市上涨，是为了让你们好好在家，别乱跑。现在套住你们，是让你们要开始好好工作了。。。 ,2020-02-26,56,6,2
复产,胡锡进,海航最近几年一直面临严重的流动性问题，现在被新冠病毒这最后一根稻草压倒了。下一个会是谁？所以，抗疫的同时千万别放松了复工复产。经济糟了，现金流断了，同样很要命。海航被压倒固然有其自身的问题，但事情在这个时间裂开，还是敲响了一记警钟。我们要正视复工复产进展缓慢对很多原本就有问题企 ...全文,2020-02-29,6311,1233,253
复产,小短腿夏酱,//@松鼠云无心:👍→_→//@我不和微博玩儿了可以吗:让社会停摆去防疫是一种很极端的做法，就跟疾病救治里的激素一样，仅限于爆发阶段短期使用，如果一直用，那不用等到病入膏肓，激素就把病人治死了。可惜有些人理解不了这个，就担心复产复工让新冠再传下去。,2020-02-29,9,2,6
复产,胡锡进,老胡今天又要说可能招骂的话了。中国需要及时调整政策，真正推动复工复产，推动城市恢复活力。前段时间，少数地方复工复产过程中出现个别的聚集性暴发病例，整个省、市都因此承受了巨大压力，相关单位的责任人还受到了追责。我认为应该改变这种局面了。大规模复工复产，难免出现个别病例向周围人 ...全文,2020-03-03,25621,4938,1918
复产,二三线小镇文艺青年,一面要复工复产，一面要严防严控，活生生逼出了需求,2020-03-06,0,0,0
复产,澄泓-研究君,现在连黄金都在跌，所有资产都在跌，对冲都没有，说明完全是情绪失控了，可笑的是，世界其它地区都乱套了，可中国已经反而熬过去，全面复工复产了。还是那句话，现在逐步开始配置权益类资产，中长期看肯定是很好的时机，跌过头后肯定是大反弹，雷劈的时候你要在，否则吃肉的时候你连汤也喝不到,2020-03-12,44,19,6
复产,胡锡进,#胡侃# 看来新冠病毒很难随着夏天的到来被彻底消灭了，中国的持久战必须建立在防止境外输入疫情和安全复工复产的两个车轮上。欧洲重蹈武汉的覆辙，中国决不能够再重蹈欧洲的覆辙。大规模疫情已经在中国画句号了，它决不能再变成一个逗号。  胡锡进的微博视频 ,2020-03-16,8467,1375,809
复产,澄泓-研究君,【盘前思考20200318】继续划重点-点赞是美德1【外盘】美股强势反弹；2【大事】① 美推出万亿刺激计划② 海外联储为市场注入流动性③ 国内继续复产复工3【仓位】【5（保守）-7（激进）】成以内较为合适；4【策略】【策略】① 欧美股市昨晚超跌反弹，反弹不是底，这里依然会反复，企稳 ...全文,2020-03-18,26,1,3
复产,澄泓-研究君,【盘前思考20200320】继续划重点-点赞是美德1【外盘】美股企稳反弹；2【大事】① 美联储体红流动性② 欧美股市企稳反弹③ 国内继续复产复工3【仓位】【5（保守）-7（激进）】成以内较为合适；4【策略】【策略】① 欧美股市出现了企稳迹象，5日线从技术面看，都在拐头向上，这是好迹象 ...全文,2020-03-20,32,3,5
复产,澄泓-研究君,【盘前思考20200323】继续划重点-点赞是美德1【外盘】美股续跌；2【大事】① 央行控金融风险② 证监会给市场打气③ 国内继续复产复工3【仓位】【5（保守）-7（激进）】成以内较为合适；4【策略】【策略】① 美股周五走的很差，尾盘再次跳水，失守20000点，技术形态再次走差；② 目前 ...全文,2020-03-23,28,4,3
复产,K-ill-joy,我们他妈不在乎，你们叫也好，不叫也好，反正你们新增确诊数字继续蹭蹭蹭，我们继续复工复产搞经济,2020-03-25,0,0,0
