关键词,博主,内容,日期,点赞数,评论数,转发数
工作,邢立达,我今天有工作！！！我今天有工作！！！我今天有工作！！！把之前迟迟不想做的一张烂图做好了，快乐……工作使我无比快乐。 ,2020-01-01,1006,54,6
工作,邢立达,2019，是我们嘤嘤嘤实验室收获满满的一年呢~科研领域，实验室发表了22篇论文，In press了2篇，Online了12篇，In Review有9篇。45篇是2019年休止符。数量不重要，质量也还不错，在Cell子刊Current Biology，Science Bulletin等刊有收获。科普领域，流量日益增长，我们终于成立了主管新老媒体的工作室 ...全文,2020-01-01,3163,291,95
工作,一只蹦蹦跳跳的尤物,我对科学产生第一次怀疑，就是酒量这个事儿。都说酒量是不会增长的，但好像又不是这样。我和我合伙人3年前刚认识那会儿，我没工作，就挂在他公司下面混，当时和他公司那边去团建，在普吉岛，我喝了两瓶啤酒，开始在海边沙滩上四脚朝天打滚，然后喝大了我把兜里的钱全部拿了出来，交给我另一个合伙人 ...全文,2020-01-01,115,29,1
工作,奶舅_吴斌,微博的渠道是直接私信我，昨晚上工号和微博同时发了，早上起来两个渠道已经收到十个预约信息，每个月最多20个小时，得要跟预约的朋友们协调好时间，约满就等下个月了。我会做好保密工作，希望能帮到真正有需要的人//@徐小胖和郭小阳:线上的通过什么渠道呢！举爪报名！迫不及待了！,2020-01-02,2,3,8
工作,澄泓-研究君,美国网站调研，大家新年的最大的几个心愿：1，多健身，减肥；38%2，存钱；37%3，交新朋友；10%4，换工作，新兴趣爱好；11%5，找到爱❤️；7%6，旅行；24%7，其他合计占3%看来美国人民是真的改了，爱存钱了#今日看盘##微博股票##东方财富# ,2020-01-02,22,5,0
工作,人五_,其实我以前真的想过“如果我是直男应该会轻松很多吧”这样的想法。回老家买房结婚考个事业编制，讨个漂亮老婆生个可爱孩子，工作体面家庭幸福，玩玩手机打打游戏喝喝小酒吃吃烧烤，哪怕是什么家务也不愿干，偶尔吃完饭牵着老婆孩子到处转转，也是他人眼中的好老公好爸爸，阖家幸福。我一直以为如果 ...全文,2020-01-02,1865,161,183
工作,江涵秋影,今天是工作日，还以为是节假日呢，该死的元旦把我的生物钟都弄乱了。刚晴了两天，今天又转阴了，好在气温继续回升，不冷，还稍微有点闷热。午饭到单位食堂吃，土豆条、青椒炒蛋，还有一个菜不知道是什么瓜，蒲瓜冬瓜丝瓜都不太像。一共9元。吃完饭到办公室，打开电脑，继续校对还没有完成的《路桥文史 ...全文,2020-01-02,0,0,0
工作,江涵秋影,【今日份的大事】今天是2020年首个正式工作日。台州市中心血站照例在其官网公布最新的《台州市献血次数100次以上光荣榜》，我的排名再次上升3位，以114次名列第80位。自从去年5月上榜以来，排名基本呈缓慢上升态势，不过竞争很激烈啊：往前超越很难，后面的人又紧追不舍，就拿114次来说，就有包括我在 ...全文,2020-01-02,0,0,0
工作,慕小月moon,#腊八节##新西兰旅行# 新西兰2020的第一个工作日暖暖的夏天 ,2020-01-02,74,71,8
工作,慕小月moon,#2020第一个工作日#蓝天白云☁ 和大海摇曳生姿#日本旅行# ,2020-01-02,97,100,4
