关键词,博主,内容,日期,点赞数,评论数,转发数
开学 返校 复学,澄泓-研究君,家里没口罩，也买不到口罩的，怎么办。。#全国已确诊473例新型肺炎病例##工信部紧急协调口罩生产##武汉教育局回应中小学能否按期开学# ,2020-01-22,20,6,2
开学 返校 复学,澄泓-研究君,财新，找了个香港人采访，这个人在武汉待了几天？最后号称逃离的。。回来后一顿负面情绪来袭，媒体接着带节奏。。下午大盘情绪受这个报道影响很大。。谁对谁错不说，这个时候发这个，让一个没有真正在一线坚持战斗的人说，合适吗？#武汉一名新型肺炎患者被成功救治##湖北中小学开学确定延期# ,2020-01-23,121,25,6
开学 返校 复学,邢立达,地大北京的小可爱们还在等新的开学通知，希望姊妹校地大武汉也好好的 ,2020-01-25,667,56,13
开学 返校 复学,澄泓-研究君,#快乐大本营取消播出# 【扩散周知！春节假期适当延长】财联社1月26日讯，据央视新闻联播，中央应对新型冠状病毒感染肺炎疫情工作领导小组会议要求，做好春节假期后疫情防控安排，适当延长春节假期，调整学校开学时间。 #天津公务人员提前结束假期##呆在家里的我有多无聊# ,2020-01-26,5,1,1
开学 返校 复学,澄泓-研究君,#被感染医护人员向镜头比OK# 很多省已经宣布省际和市际客运停运了，不少城市学校也宣布延期开学，估计假期会延迟结束的，估计明后天会有明确消息出来，毕竟如果正常上班，订票或者准备也需要时间缓冲。。#正月十五前武汉疫情可能出现拐点##新型冠状病毒潜伏期也有传染性# ,2020-01-26,6,0,0
开学 返校 复学,侃侃而谈zp,#北京大中小学幼儿园延期开学#    北京大中小学幼儿园延期开学     这个反应还是很灵敏的，反应了北京市治理能力和治理水平的快速进步，手工点个赞👍     北京作为首善之区，已经做了有效防控措施的率先垂范，全国其他地方可以学着点了 ,2020-01-26,11,0,0
开学 返校 复学,邢立达,官消：北京不会封城！北京大中小学延迟开学！ ,2020-01-26,856,99,44
开学 返校 复学,慕小月moon,#延假期 晚开学 少开会#太好了……好想去晒太阳🌞#海岛游# ,2020-01-26,72,58,10
开学 返校 复学,侃侃而谈zp,#全国累计确诊新型肺炎2744例#  全国累计确诊新型肺炎2744例🙏     国家把春节假期都延长了，中小学幼儿园的开学时间还要单独等待另行通知，其实只会时间更晚这一切都是为了避免春运返程和学生开学期间人流密集可能会带来的新型肺炎交叉感染      现在的看点就是西藏能不能严防死守住 ...全文,2020-01-27,12,2,0
开学 返校 复学,Police_888888,#部分高校延长寒假推迟开学##多所高校延期开学##延长假期##hiv# ,2020-01-28,1,0,0
开学 返校 复学,青春不能没有我,确定了，要延迟开学了，那就当在家多陪陪家人吧。 六安·霍邱县 ,2020-01-29,0,0,0
开学 返校 复学,重小山,如果2月份都不能开学，是不是高考就要延期？,2020-02-02,0,0,0
开学 返校 复学,听说我要叫小呆,看到有个学校有学生提前返校还不跟学校讲，然后被发现之后，学校通报并发了博，下面评论有人说有必要嘛之类的，不，那不是学生违纪在先吗？为什么不能通报了，也不是小学生了自己做事情前不考虑清楚嘛，然后说学校要把她们搞崩溃 ,2020-02-02,0,5,0
开学 返校 复学,闲庭轩居士,童心童话，为武汉加油！武汉市钟家村小学三里坡校区二五班的小朋友们为白衣天使们加油！为武汉加油！我们相信，武汉一定会好的，开学见！#武汉加油##武汉我想对你说##武汉你好吗# 闲庭轩居士的微博视频 ,2020-02-05,0,0,1
开学 返校 复学,沈陆良,#你学校几号开学# 桐乡市 ,2020-02-05,0,0,0
