关键词,博主,内容,日期,点赞数,评论数,转发数
武汉,iBingo,#江西九江学院大四女生失联#转发扩散，江西九江学院一女生在武汉江滩公园失联。 ,2020-01-02,1,0,0
武汉,奶舅_吴斌,我最了解和擅长1-3岁孩子心理发展，80％的时间会留给孩子在这个年龄段的朋友，其他20%的时间视养育者预约的实际情况给有需要的朋友，避免大家彼此浪费时间//@绿萝帮-武汉艾科奥德:什么年龄段啊？,2020-01-02,5,2,7
武汉,澄泓-研究君,【盘前思考20200102】继续划重点-点赞是美德1【外盘】美股高位盘整；2【大事】① 12月官方PMI继续好转② 央行全面降准③ 武汉肺炎是病毒性3【仓位】【5】成以内较为合适；4【策略】① 假期最大消息是全面降准，这个其实是预计内的，只是时间放在新年第一天，为提振新年信心的感觉更强 ...全文,2020-01-02,22,3,3
武汉,iBingo,#武汉卫健委通报不明原因肺炎#初步调查表明，未发现明显的人传人证据，未发现医务人员感染。 ,2020-01-03,2,0,0
武汉,iBingo,#江西九江学院大四女生失联#江西九江学院大四女生失联，最后出现地点在武汉市武昌江滩公园，希望早日回家🙏 ,2020-01-03,2,0,0
武汉,iBingo,#江西女大学生失联前最后画面#江西女大学生失联前情绪低落，独自走过武汉长江大桥，希望早日平安回家🙏 ,2020-01-04,1,1,2
武汉,鼎下生,【布病发病数总体持续上升 疫苗难解防控难题】畜用疫苗对牛羊无致病性，但对人类有致病性，若在给家畜做疫苗接种时，个人防护做的不好就有可能被感染，这就造成许多畜牧工布病发病数总体持续上升 疫苗难解防控难题（来自财新客户端）武汉香港又查出两例肺炎入境，所以到底去哪呢，陷入进退两难的局面 ,2020-01-04,0,0,0
武汉,iBingo,#武汉不明原因肺炎已排除SARS病原#武汉不明原因肺炎最新消息：已排除SARS、无死亡病例、均已隔离。期待好消息。 ,2020-01-05,4,0,0
武汉,iBingo,#武汉下雪#怎么你们南方的武汉都能下雪，我们北方的山东下个雪就这么难 ,2020-01-09,13,1,0
武汉,iBingo,#武汉不明原因肺炎导致1人死亡#早发现、早诊断、早隔离、早治疗。希望大家早日康复🙏 #专家解读武汉不明原因肺炎# ,2020-01-11,16,1,0
武汉,大朋友的小朋友鸭,法式领春天马上安排上！宜家开学再安排一次！花花花！想要好多好多美美的花花🌹 🌷 💐 🌸 🌺 武汉 ,2020-01-12,0,0,0
武汉,iBingo,#中国已分享新型冠状病毒基因序列信息#世界卫生组织12日宣布，已收到中国分享的从武汉不明原因病毒性肺炎病例中检测到的新型冠状病毒基因序列信息。负责任大国 ,2020-01-13,19,5,1
武汉,小短腿夏酱,老公终于出差回来啦！他说我这次去武汉对藕有了新的认识。我问为什么？他说满大街都在吃藕汤，那个藕好粉好好吃哦。我说我自从看了《陈情令》也对藕有了新的认识🙈 ,2020-01-14,42,32,0
武汉,iBingo,#武汉下雪#怎么你们南方的武汉都能下雪，我们北方的山东下个雪咋就这么难 ,2020-01-15,6,5,0
武汉,iBingo,#武汉卫健委通报不明原因肺炎情况#武汉通报不明肺炎:不排除人传人，有家庭聚集性病例。 ,2020-01-15,14,2,1
武汉,SD下海的杨大夫,2005年珞珈科学冬令营，经管组。到武汉第一天就开始发烧，顶着39℃多高烧考的试，还在校医院打了2天吊针。直到回家才算好利索。,2020-01-16,1,11,0
武汉,侃侃而谈zp,#武汉新增4例新型冠状病毒肺炎病例#   武汉新增4例新型冠状病毒肺炎病例。。。      这种新型冠状病毒的DNA不是搞清楚了吗？针对性治疗方案现在的可靠性怎么样？治愈的和病故的病例治疗和个体免疫力方面的差异有多大？      目前武汉市民还是尽其所能地做好预防工作吧，口罩和生活、工作以及公众场合 ...全文,2020-01-18,5,1,2
武汉,Kelly酱酱酱酱,武汉太有亲切感了，同在鲁磨路吃过羊肉串，那时还不认识你,2020-01-18,0,0,0
武汉,梦回龙城-宋律师,事情两面看，因为官方一直没有结果，网民并没有更好的表达渠道。他们只有相信人民日报的影响力。//@张爱玲:评论的抖机灵能不能适度一点啊？条新闻说的是武汉肺炎，这么严肃的事情拿来抖机灵？,2020-01-19,0,0,0
武汉,一条正弦可爱多,武汉肺炎越来越严重了，快递快停运了，建议大家年前多囤点口罩吧。普通医用口罩，能防飞沫传播的即可。 沈阳 ,2020-01-19,3,3,0
武汉,侃侃而谈zp,#上海肺炎#  上海肺炎，深圳肺炎。。。深圳的没去过武汉，上海的还在等进一步消息确认🙏     2019年是超级暖冬，气候确实反常得不像话这种反常气候，是比较容易滋生疫情的。还是应该提高警惕吧，该买的口罩买起来，医用的那一种；也要常洗手     政府和民间，小心驶得万年船总归是不错 ...全文,2020-01-19,12,3,2
武汉,胡锡进,#胡侃# 老胡今天要说说武汉新型肺炎。虽然它的疫情传播不像非典那样汹涌，致死率也没非典高，但它的传染源和传播途径至今未搞清楚，潜在风险不容低估。春节将至，我们面临既过好一个祥和的节日，又坚决防止武汉新型肺炎扩散的考验。希望各地加强排查，及时全面向公众公布信息。 胡锡进的微博视频 ,2020-01-19,6155,1083,763
