关键词,博主,内容,日期,点赞数,评论数,转发数
疫情,侃侃而谈zp,#上海肺炎#  上海肺炎，深圳肺炎。。。深圳的没去过武汉，上海的还在等进一步消息确认🙏     2019年是超级暖冬，气候确实反常得不像话这种反常气候，是比较容易滋生疫情的。还是应该提高警惕吧，该买的口罩买起来，医用的那一种；也要常洗手     政府和民间，小心驶得万年船总归是不错 ...全文,2020-01-19,12,3,2
疫情,胡锡进,#胡侃# 老胡今天要说说武汉新型肺炎。虽然它的疫情传播不像非典那样汹涌，致死率也没非典高，但它的传染源和传播途径至今未搞清楚，潜在风险不容低估。春节将至，我们面临既过好一个祥和的节日，又坚决防止武汉新型肺炎扩散的考验。希望各地加强排查，及时全面向公众公布信息。 胡锡进的微博视频 ,2020-01-19,6155,1083,763
疫情,侃侃而谈zp,#北京确诊2例新型冠状病毒感染肺炎病例#  北京确诊2例新型冠状病毒感染肺炎病例，患者近期均有武汉旅行经历。。。     武汉是病源无疑了吧，仅就该新型冠状病毒感染而言，武汉是妥妥的中心城市了……     2003年我国在抗击防治非典的危巨工作中，曾经积累了很多非常有益的疫情防控经验，现在须要提高 ...全文,2020-01-20,2,6,2
疫情,胡锡进,我不知道各地通报疫情是什么程序。老胡在此建议，疫情通报完全由各地疾控中心（CDC）负责，增强CDC掌握全局的能力，政府完全退出通报的过程。CDC如果某一次通报有细微差错，下次改过来就是了，这样可以让通报完全医学化。政府参与进来，难免会有如何避免引起公众惊慌的考虑，因为政府要对社会运行负总 ...全文,2020-01-20,6994,1204,380
疫情,胡锡进,今天听到北京朝阳医院眼科主任等三名医护人员被一男子用菜刀砍伤的消息，不仅震惊，尤其格外地心疼。武汉肺炎正在威胁公众的安全，医护人员们平时是保护我们的屏障，一旦有重大疫情出现，他们就是走上前线的战士们啊。现在还不清楚那名男子为什么要对几名医生下毒手，但我相信这个世界上就不存在支持他 ...全文,2020-01-20,12664,2200,389
疫情,胡锡进,昨晚老胡写武汉肺炎的时候，情况还没那么严重。一觉醒来，大量确诊病例新增，感觉到气氛一下子不一样了。2003年非典的时候，北京是疫情中心，我们经历了艰难的时刻。在大家最慌乱的时刻，有一天我看到街上有人开车在主路上逆行，我当时眼泪都掉下来了，很心疼这个城市。非典的致死率很高，北京当时实 ...全文,2020-01-20,10906,1914,914
疫情,邢立达,突然想起来，这疫情，电影业影响也不容忽视啊……这贺岁档…… ,2020-01-20,1028,142,37
疫情,Police_888888,#武汉新型肺炎患者救治均由政府买单# 社会主义优越性.jpg //@丨阿卡西:那个野味市场平时监管何在？//@百花图谱:一开始瞒，后面压，再后面骗，瞒不住压不了骗不过的时候才认真，危机公关这几个步骤能改一改吗？明明疫情严重，一开始总是哄着怕慌乱，爆发不打脸吗？,2020-01-21,0,3,0
疫情,Police_888888,//@_譬如你_:前有疫情 后有弑医// @不知名陶艺师：没想到意外火了，灾难中的英雄应该被铭记。大家出门一定要戴口罩，家里通风勤洗手，肉类蛋类煮熟再吃，别吃野味。//@博叽战羡ggdd：看到最后一句话  热泪盈眶,2020-01-21,0,0,0
疫情,耿国续,//@马伯庸:最起码实行安检吧……//@午后狂睡:我们不能只有在发生疫情的时候才想起来要珍惜医护人员。,2020-01-21,0,0,0
疫情,MrKetchup,//@午后狂睡:我们不能只有在发生疫情的时候才想起来要珍惜医护人员。,2020-01-21,0,0,0
