关键词,博主,内容,日期,点赞数,评论数,转发数
睡觉,听说我要叫小呆,打卡睡觉今儿个元旦看到不少人写着今年要做的事情，我居然发现自己没啥可写的，好像对生活越来越没期待，就算是下一秒死去也不可惜的那种😔怎么说呢，惟愿我依旧热爱生活，热爱这大千世界，爱我自己2020爱你爱你年就好好爱我吧，也希望各种锦鲤大佬大神能够爱我晚安 ,2020-01-01,0,0,0
睡觉,有个小脑袋嗑嗑,#新年心愿# 1.看10本书2.短期旅游一次3到5天，长途旅游一次（7到10天）3.发两篇文章4.写日记5.瘦身100斤以下6.保持每周5天12点前睡觉7.工作日至少一天自己做饭吃加油加油加油 ,2020-01-01,0,1,1
睡觉,人五_,其实我觉得有时候对方没那么喜欢你，养鱼，你就摆正心态，好好当鱼，鱼有鱼的快乐，互联网时代，现在鱼塘都是云端的，轻松共享，可以在每个鱼塘游来游去。给一百个天菜当plan b，做他们人生疲劳的加油站。人一直仰着头很累的，谁都会有低头的时候，他们难过空虚的时候找你吃饭睡觉，睡完又拍拍屁股觉 ...全文,2020-01-01,2627,381,157
睡觉,小短腿夏酱,今天上午我和爸爸睡懒觉，阿姨带夏夏去公园蹦哒了一早上回来，中午见到我们了还一直在跳。我问阿姨：她怎么还没玩累？放电没放够吗？阿姨：你女儿你还不知道吗？晚上睡觉脚都竖起来跳舞的人！ #夏酱家阿姨# ,2020-01-01,78,22,2
睡觉,小小的艳子啊,睡觉💤 ,2020-01-02,0,0,0
睡觉,听说我要叫小呆,打卡睡觉晚安愿明天一切都好 ,2020-01-02,0,0,0
睡觉,人五_,太惨了，她整理了一天一夜，平时九点就睡觉的人弄到晚上两点，整理图片写攻略翻app拼图排版，结果被限流…你们可怜可怜她去看一眼吧。 ,2020-01-02,304,69,0
睡觉,奶舅_吴斌,这个话题还有想要评论的吗？我准备全部回复完睡觉去了。明天谢老师来珠海玩，晚上和他去澳门的米其林摘完星，还要跟大家更新#奶舅新书专栏#,2020-01-03,5,0,0
睡觉,听说我要叫小呆,打卡睡觉晚安愿明天一切都好好运 ,2020-01-03,1,0,0
睡觉,人五_,给帅哥们介绍一个米兰超棒的旅游项目，绝对流连忘返，性价比超高，让你忘不了，来米兰旅游一定不要错过，是只有真正帅哥才可以体验的：和人五睡觉。 ,2020-01-03,931,101,4
睡觉,听说我要叫小呆,打卡睡觉最近的感冒真的反反复复，被波～说居然在大夏天的南宁感冒！今天各种酸痛，中午睡了两个小时没见好，头也痛，真的太痛苦了晚安但愿明天能好了吧好运 ,2020-01-04,0,0,0
睡觉,听说我要叫小呆,11月底到现在感冒一直反反复复，我他喵真是难受死了昨晚睡觉突然各种不舒服，醒来头晕全身酸痛无力，可真太累了 ,2020-01-04,0,0,0
睡觉,听说我要叫小呆,打卡睡觉晚安最近大概因为感冒反反复复导致姨妈有点混乱，觉得身为女生好麻烦来姨妈烦不来也烦愿睡醒后一切都好好运 ,2020-01-05,0,0,0
睡觉,听说我要叫小呆,打卡睡觉晚安我感觉感冒又要复发的节奏啊啊啊啊不要啊愿睡醒有好运 ,2020-01-06,0,2,0
睡觉,听说我要叫小呆,打卡睡觉晚安今天嗓子突然难受，然后声音骤然低几个度，大概如果感冒复发会是来势汹汹愿明日醒来会好些好运 ,2020-01-07,0,0,0
睡觉,江涵秋影,猫发春，狗狂吠，倒垃圾桶，楼下拉卷帘门……凌晨各种吵闹，影响人睡觉。 台州 ,2020-01-07,0,0,0
睡觉,小短腿夏酱,我经常在微博吐槽我家阿姨，没想到就这样也撑了一年多了， 在我家准备迎来第二个春节。阿姨是有很多缺点的，比如做饭很单调，以至于我们都不太想回家吃饭，比如不识字带来一些不便，比如耳背让我们都要大声地跟他讲话。但是阿姨也有一些打动我的地方吧，比如前天我在房间睡觉，阿姨带着夏夏从外面 ...全文,2020-01-07,342,79,9
睡觉,宁秋草,#今日份XX# 当白天要开一天的会，还要加班到十一点多的时候，回家后就会莫名不想睡觉，仿佛这一天真正属于自己的时间只有这午夜的片刻！2020早睡！ ,2020-01-08,0,0,0
睡觉,听说我要叫小呆,打卡睡觉晚安嗓子还是哑，感觉在回家之前都没法好了明天没那么难受就好愿睡醒有好运爱你 ,2020-01-08,0,0,0
睡觉,张批话,最近一到睡觉的点就不困，难受坏了。如果我有钱我就买个房把卧室装修成北大图书馆人文社科阅览室的样子，在那里我曾经畅享最高质量的睡眠。 ,2020-01-08,90,24,1
睡觉,听说我要叫小呆,打卡睡觉晚安今日签收了2020年的第一份幸运，然后发现随机寄的色号也是我爱的，幸运中的幸运愿可以一直这么幸运醒来有好运呀 ,2020-01-09,0,0,0
睡觉,小短腿夏酱,夏夏现在是个小甜心，跟我打车回到家楼下，车停在小区门口，她就自己说：到ne～下车～叔叔拜拜👋进电梯看到人都会打招呼：hano～这会还不睡觉，我说她，她就来亲我的脸，老母亲无法抵挡这份爱 ,2020-01-09,99,37,1
睡觉,奶舅_吴斌,这应该主要是哥哥的问题，要给哥哥做好家庭规则的培养才行//@冷杉Frankie:哥哥四岁四个月、弟弟一岁半。好像是不是只要是俩男孩都会打架？哥哥放学回家到睡觉这段时间太难熬，陪玩&amp;拉架好累,2020-01-10,1,0,1
睡觉,听说我要叫小呆,嗓子难受总想咳，以至于这个点还没睡不行了，还是得睡了正式打卡睡觉晚安今日毫无惊喜，愿明早起来后发现腌的萝卜好吃，买的零食好吃睡醒见好运吖爱你 ,2020-01-10,0,0,0
睡觉,小短腿夏酱,阿姨说夏夏睡觉腿都在跳舞💃，大概是这个亚子。 小短腿夏酱的微博视频 ,2020-01-10,97,47,0
睡觉,地平线评论,美国用无人机干掉了苏莱曼尼，伊朗反击发射导弹炸死0人，搞纪念活动自己踩死56人，精神紧张失误搞掉了乌克兰客机，死了82名伊朗人，63名伊朗裔加拿大人，还有其他国家人士，要赔一架客机，还有人身赔偿。直接战损比 0人：202人。川总睡觉都得笑出声。伊朗也向全世界证明：看看！我发狠了，自己人都不在 ...全文,2020-01-11,5,3,0
睡觉,SD下海的杨大夫,【生活博主】我一向自诩为一个没什么拖延症的人，但是面对搬家和新学校这种事还是一筹莫展——本来今天就应该出发的，但是我到现在什么东西都还没打包。想想一堆杂事，睡觉都不踏实，可以说非常掉头发了。 ,2020-01-11,5,7,0
睡觉,小短腿夏酱,11点半回到家，阿姨哄娃睡觉，老公去加班，我现在还在挣扎着起来去遛狗，走了一天脚好酸。 ,2020-01-11,42,13,0
睡觉,听说我要叫小呆,打卡睡觉晚安体温38℃的晚上，希望依旧能安眠愿睡醒后一切都好醒来有好运！爱你 ,2020-01-12,0,0,0
睡觉,wait银银银银儿,#很不好但我却很擅长的事# 哈哈哈哈这样的事情太多了睡觉就是我想天天睡觉还有钱哈哈哈哈 ,2020-01-12,0,0,0
睡觉,听说我要叫小呆,打卡睡觉晚安最近有点难受，好在想想准备可以回去过年了，倒也还好愿睡醒有好运爱你 ,2020-01-13,0,0,0
睡觉,BuzzySun,很开心好兄弟发新专辑了，昨天这个逼占用我睡觉时间强行要我听完他所有歌曲才能睡...我听完之后也跟他交流过，总体来说这是一张比较成熟、值得一听的专辑，尽管它可以更精进，不过在今后他的音乐之路上必然可以听到更多可能性，倒不如现在，来感受一下他此刻想表达的吧 查看图片,2020-01-13,7844,523,124
睡觉,一只蹦蹦跳跳的尤物,昨天晚上，大家工作到很晚，搞到快三点了还没弄完，我都困了，然后新同事就说他有些问题不知道怎么解决，我大概听了一下啥问题，然后我就123给他讲清楚。后来我就说赶紧都睡觉吧，早上还得冲浪。回去后我躺到床上，我发现人的成长轨迹都是惊人的相似。因为这家伙问我的问题让我有一种熟悉感，这种 ...全文,2020-01-13,326,43,2
睡觉,听说我要叫小呆,打卡睡觉晚安头好痛愿睡醒一切都好醒来见好运爱你 ,2020-01-14,0,0,0
睡觉,听说我要叫小呆,打卡睡觉晚安最近每天的睡觉卡都会在最末说句爱你，是因为不论如何希望自己可以永远爱自己愿睡醒有好运爱你 ,2020-01-15,0,0,0
睡觉,听说我要叫小呆,打卡睡觉晚安最近睡得都比较晚，各种不舒服，今晚是肚子，难受但愿醒来会好些睡醒有好运爱你 ,2020-01-16,0,0,0
睡觉,_星轨-,看北南老师的微博种草了 家居设计改造王 这个游戏，由于本人手机和平板都是安卓系统，不得已偷拿了我妈的ipad下载了一个结果发现它要靠玩消消乐得金币才能设计家居被我妈发现还被讽刺玩幼稚小游戏谁能想到两天过去了我妈比我玩得还欢甚至趁我睡觉把我攒的体力全用完了 ...全文,2020-01-16,6,15,0
睡觉,Dingykkk,我每天晚上加班工作的时候都觉得自己要发财了，然后开开心心去睡觉... ,2020-01-16,174,240,1
睡觉,听说我要叫小呆,打卡睡觉晚安今晚肚子依旧不舒服，好在明天可以休息一天但愿等会入睡不困难吧睡醒有好运爱你 ,2020-01-17,1,0,0
睡觉,小短腿夏酱,#夏酱的日托日常##午睡真的是件很神奇的事#  跟日托老师说很好奇怎么把夏夏哄睡的，老师特地拍了视频给我看，一个老师哄两个小朋友，好有爱哦。脚会跳舞的就是皮皮夏啦。阿姨早上跟我说，夏夏半夜老是爬起来，感觉不想睡觉，可能是白天睡多了。我说她在幼儿园中午十二点半睡到三点还不想起来， ...全文,2020-01-17,38,13,3
睡觉,听说我要叫小呆,打卡睡觉晚安大家都说他念了名字，但我关注点不在说了啥，而是他怔了好几秒。看了有些心疼。愿都好吧睡醒有好运爱你 ,2020-01-18,0,0,0
睡觉,听说我要叫小呆,打卡睡觉晚安感觉全世界除了我还没能回家大家都回了虽然回家会被我妈骂，但也有点想回了睡醒有好运爱你 ,2020-01-19,0,2,0
睡觉,井冈山的斗争,星期六中午通知加班 下午两点干到晚上十二点收拾完一点睡觉 星期天六点起来上班 到现在还没下班 已经不间断工作了34小时了纳税人的钱绝对不白花 ,2020-01-20,2,19,0
睡觉,就是铿尔,//@犹恐鶗鴂鸣://@Pfaueninsel://@想睡觉的算:其实不是阶级压迫，是性别压迫。婚育内的生育本质是一样的。地主对贫女的压迫与丈夫对妻子的压迫有什么区别只不过男人们不愿意承认这点，因为提阶级压迫还可以当成他们的遮羞布，假装自己也是受害者，而如果正视性别压迫这个事实，就掩盖不了他们加,2020-01-20,0,0,0
睡觉,听说我要叫小呆,打卡睡觉晚安今天算是蛮幸运的，百度集卡本来还缺两张稀有卡，但微博上有两个姐妹送我了，所以就集齐了，万分感谢姐妹们现在就差抖音钻了，不过大概是内部卡，不强求了明天是奔波的一天，希望顺利睡醒有好运爱你 ,2020-01-20,1,4,0
睡觉,邢立达,如果夫妻，家长和孩子每天睡觉前都能花几分钟分享下今天的快乐和悲伤，坚持三十天，完全不一样…… 深圳·深圳广播电影电视集团 ,2020-01-20,1602,90,68
睡觉,听说我要叫小呆,打卡睡觉晚安今天去教育局领了介绍信，才发觉年后就真的要离开城市去小镇生活了呢，之前觉得没啥，现在想想要去不熟悉的地方开始全新的生活还是挺需要勇气的，愿我到时候顺利吧睡醒有好运愿大家都平平安安健健康康过年🙏爱你 ,2020-01-21,0,0,0
睡觉,Dingykkk,我在房间睡觉，结果被阿姨强行叫醒了。因为我妈觉得我一天没吃东西让阿姨逼我喝汤和果汁，我真的好困什么都喝不下，边喝边在嗷嗷的哭，可太难了 ,2020-01-21,186,100,0
睡觉,Dingykkk,春节对自己的要求：在家多睡觉，好好吃饭，不传谣，不信谣，不给ZF找麻烦，管好我自己 ,2020-01-23,215,69,6
睡觉,慕小月moon,#鼠年开运自拍#新年快乐第一个祝福 其实十二点就准备睡觉💤……晚安喽#春节摄影大赛# 绿洲 慕行之的微博视频 ,2020-01-24,23,23,8
睡觉,小短腿夏酱,这几天除了睡觉一整天跟夏夏玩真的是进步很快，她已经体会到了语言的好处，熟练掌握了“爸爸～妈妈～快来！” “在这里！” “过来～”“一起丸～” 等用来叫我们去陪她玩的词语。能通过语言得到她想要的反馈，让她更有动力开口。以前她不懂这一点，每次想要什么都是直接用手拉着我们过去的。 ...全文,2020-01-25,149,36,5
睡觉,人五_,说“什么互相有好感，但大家都比较理智，各自都不会为了爱情很疯狂了～”之类的话，还不是因为没把握，不确定。再不要脸一点，往前走一步就知道，要么在一起，要么不联系。我就喜欢做不要脸的那个人，把话说死路走绝，不喜欢我不能和我睡觉大家马上闹翻，谁都不缺这个朋友。 ,2020-01-26,2459,213,136
