关键词,博主,内容,日期,点赞数,评论数,转发数
肺炎,澄泓-研究君,【盘前思考20200102】继续划重点-点赞是美德1【外盘】美股高位盘整；2【大事】① 12月官方PMI继续好转② 央行全面降准③ 武汉肺炎是病毒性3【仓位】【5】成以内较为合适；4【策略】① 假期最大消息是全面降准，这个其实是预计内的，只是时间放在新年第一天，为提振新年信心的感觉更强 ...全文,2020-01-02,22,3,3
肺炎,iBingo,#武汉卫健委通报不明原因肺炎#初步调查表明，未发现明显的人传人证据，未发现医务人员感染。 ,2020-01-03,2,0,0
肺炎,鼎下生,【布病发病数总体持续上升 疫苗难解防控难题】畜用疫苗对牛羊无致病性，但对人类有致病性，若在给家畜做疫苗接种时，个人防护做的不好就有可能被感染，这就造成许多畜牧工布病发病数总体持续上升 疫苗难解防控难题（来自财新客户端）武汉香港又查出两例肺炎入境，所以到底去哪呢，陷入进退两难的局面 ,2020-01-04,0,0,0
肺炎,iBingo,#武汉不明原因肺炎已排除SARS病原#武汉不明原因肺炎最新消息：已排除SARS、无死亡病例、均已隔离。期待好消息。 ,2020-01-05,4,0,0
肺炎,胡锡进,#胡侃# 纽约时报大骂特朗普总统做出“丢人现眼的让步”，而在老胡看来，美伊巧妙地相互给了一个台阶。然而局势的降温是以紧急退烧药的方式实现的，肺炎却仍在加深。美国用极端制裁逼伊朗，新的高烧重现恐怕只是时间问题。 胡锡进的微博视频 ,2020-01-09,3970,1167,310
肺炎,iBingo,#武汉不明原因肺炎导致1人死亡#早发现、早诊断、早隔离、早治疗。希望大家早日康复🙏 #专家解读武汉不明原因肺炎# ,2020-01-11,16,1,0
肺炎,iBingo,#中国已分享新型冠状病毒基因序列信息#世界卫生组织12日宣布，已收到中国分享的从武汉不明原因病毒性肺炎病例中检测到的新型冠状病毒基因序列信息。负责任大国 ,2020-01-13,19,5,1
肺炎,iBingo,#武汉卫健委通报不明原因肺炎情况#武汉通报不明肺炎:不排除人传人，有家庭聚集性病例。 ,2020-01-15,14,2,1
肺炎,侃侃而谈zp,#武汉新增4例新型冠状病毒肺炎病例#   武汉新增4例新型冠状病毒肺炎病例。。。      这种新型冠状病毒的DNA不是搞清楚了吗？针对性治疗方案现在的可靠性怎么样？治愈的和病故的病例治疗和个体免疫力方面的差异有多大？      目前武汉市民还是尽其所能地做好预防工作吧，口罩和生活、工作以及公众场合 ...全文,2020-01-18,5,1,2
肺炎,梦回龙城-宋律师,事情两面看，因为官方一直没有结果，网民并没有更好的表达渠道。他们只有相信人民日报的影响力。//@张爱玲:评论的抖机灵能不能适度一点啊？条新闻说的是武汉肺炎，这么严肃的事情拿来抖机灵？,2020-01-19,0,0,0
肺炎,一条正弦可爱多,武汉肺炎越来越严重了，快递快停运了，建议大家年前多囤点口罩吧。普通医用口罩，能防飞沫传播的即可。 沈阳 ,2020-01-19,3,3,0
肺炎,侃侃而谈zp,#上海肺炎#  上海肺炎，深圳肺炎。。。深圳的没去过武汉，上海的还在等进一步消息确认🙏     2019年是超级暖冬，气候确实反常得不像话这种反常气候，是比较容易滋生疫情的。还是应该提高警惕吧，该买的口罩买起来，医用的那一种；也要常洗手     政府和民间，小心驶得万年船总归是不错 ...全文,2020-01-19,12,3,2
肺炎,胡锡进,#胡侃# 老胡今天要说说武汉新型肺炎。虽然它的疫情传播不像非典那样汹涌，致死率也没非典高，但它的传染源和传播途径至今未搞清楚，潜在风险不容低估。春节将至，我们面临既过好一个祥和的节日，又坚决防止武汉新型肺炎扩散的考验。希望各地加强排查，及时全面向公众公布信息。 胡锡进的微博视频 ,2020-01-19,6155,1083,763
肺炎,一条正弦可爱多,买口罩 买口罩 买口罩就算退一万步这个病毒最后啥事没有 你买点口罩防雾霾不好吗N95口罩或者医用口罩！#武汉新增136例新型冠状病毒肺炎病例# ,2020-01-20,11,0,0
肺炎,澄泓-研究君,武汉肺炎升级，扩散。医药大涨，影视旅游大跌，资本市场就是这么现实，都是用脚投票，谁管你上周是涨是跌 ,2020-01-20,30,1,2
肺炎,澄泓-研究君,#武汉卫健委发布病毒性肺炎高发注意事项# ,2020-01-20,16,1,1
肺炎,澄泓-研究君,还是开赌场的，赚钱最容易赚7个亿和我赚700似的#微博股票##东方财富##韩国出现一武汉肺炎确诊病例# ,2020-01-20,15,1,2
肺炎,澄泓-研究君,#武汉卫健委发布病毒性肺炎高发注意事项# 这是北京协和医院的内部资料，整体来说，大家不要慌乱，也不要乱传消息，既然有治愈的案例，就不要乱想，相信医务工作者，可以保护好大家！#武汉发现不明原因肺炎# ,2020-01-20,23,12,3
肺炎,侃侃而谈zp,#北京确诊2例新型冠状病毒感染肺炎病例#  北京确诊2例新型冠状病毒感染肺炎病例，患者近期均有武汉旅行经历。。。     武汉是病源无疑了吧，仅就该新型冠状病毒感染而言，武汉是妥妥的中心城市了……     2003年我国在抗击防治非典的危巨工作中，曾经积累了很多非常有益的疫情防控经验，现在须要提高 ...全文,2020-01-20,2,6,2
肺炎,胡锡进,#胡侃# 今天全国的武汉肺炎确诊病例达到了217例。小心些吧，虽然不很清楚病毒的传染方式，但出门多带口罩，回家多洗手总不会有错。同时也不至于真的认为“非典又来了”，按照“非典模式”自我管束。我们的一生会碰到各种事情，别什么都不当事，也别一碰上事就被吓着。 胡锡进的微博视频 ,2020-01-20,4865,885,503
肺炎,胡锡进,今天听到北京朝阳医院眼科主任等三名医护人员被一男子用菜刀砍伤的消息，不仅震惊，尤其格外地心疼。武汉肺炎正在威胁公众的安全，医护人员们平时是保护我们的屏障，一旦有重大疫情出现，他们就是走上前线的战士们啊。现在还不清楚那名男子为什么要对几名医生下毒手，但我相信这个世界上就不存在支持他 ...全文,2020-01-20,12664,2200,389
肺炎,胡锡进,昨晚老胡写武汉肺炎的时候，情况还没那么严重。一觉醒来，大量确诊病例新增，感觉到气氛一下子不一样了。2003年非典的时候，北京是疫情中心，我们经历了艰难的时刻。在大家最慌乱的时刻，有一天我看到街上有人开车在主路上逆行，我当时眼泪都掉下来了，很心疼这个城市。非典的致死率很高，北京当时实 ...全文,2020-01-20,10906,1914,914
