关键词,博主,内容,日期,点赞数,评论数,转发数
起床,AmyandJones,#期末# 终于，还有两门课……早上6点多起床，为多点时间看书，早上只吃了一个鸡蛋，果然，动脑筋容易饿，好久没这种感觉了呢！现在就一个要求60分万岁，李老师看我刷刷的写题目，还特意问我，有没有背诵早要点。很好的一门课，竟然从未听过一节，这也是我最大的问题！还有两门，加油 ...全文,2020-01-06,2,0,0
起床,霞勇同心,《老照片：没有互联网，70年代人们这样了解资讯》每天起床几件事，洗脸刷牙吃早饭，现在多数人估计都多了一项业务，那就是拿起手机了解资讯。朋友圈也好，新闻app也罢，上班了也少不了电脑网页浏览一下。在80年代，人们还少不了读书看报。网页链接 ,2020-01-06,0,0,0
起床,人五_,写完《婊子指南5》，等到国内早上八点大家都起床的时间，点了发送键。还是意大利凌晨，我点了一支烟在阳台上吹风，看了看评论和转发数，在朋友圈里分享了一首《如果你也听说》。 ,2020-01-07,568,102,7
起床,人五_,好呀，在干嘛？起床了吗？我今天睡到十点才醒，午饭吃的沙拉，想再瘦一点，见你的时候就可以好看一点。下午看了几集电视剧，晚上买了超市的汉堡排来煎，很好吃，我吃了两块。你呢，你今天几点起床，干了什么？又吃了些啥？我晚上一个人躺在床上，总是忍不住去想你起床的样子，你看书的样子，你发 ...全文,2020-01-07,1530,307,141
起床,小短腿夏酱,起床了起床了，今天 再起不来去学校就太过分了，毕竟我已经不是当年旷课的那个我了，现在是带着娃旷课了🙈。 ,2020-01-07,38,9,0
起床,AmyandJones,#期末# 最后一科结束了！累！看到寒假作业那刻，真的很无语……早上六点多起床，赶到学校考试。考完后匆匆忙忙赶回院里，午餐后，又赶去市院开会，然后去给老爸买衣服，送衣服试穿，忙到现在，还在回家的路上 ,2020-01-08,1,0,0
起床,用户6520030499,早上5:45起床請問我現在不睡是幹嘛 ,2020-01-08,508,280,0
起床,嫌昵称麻烦的小雷同志,说个政治不正确的，看这两天的新闻，中东局势持续紧张，又是暗杀又是导弹还摔飞机呢，大家都紧张兮兮的等着看高潮部分了，等着特朗普起床发声明，结果就不打了。这种感觉真的和看权力的游戏最后一季烂尾一样，铺垫了那么久结果就这样？ 加拿大·哈利法克斯 ,2020-01-09,3,1,0
起床,邢立达,好像让我三点到鸭，我准备起床了……,2020-01-12,137,12,1
起床,小短腿夏酱,不情不愿不想起床的你 ,2020-01-13,58,12,1
起床,江涵秋影,下一天雨，跑步只好暂停，十分后悔没有选择上午去跑，主要是太冷，不想起床，结果下午就没时间了。中午去市民广场参观了台州城市规划展览馆。10年了，从门口经过了无数次，居然还是第一次去。原先在广场南路，叫规划展示馆，不知道哪一年搬到市民广场，准确地址是群韵路11号，改称展览馆。需要登记。有 ...全文,2020-01-15,1,0,0
起床,江涵秋影,【2020年1月16日】上午10点半醒，睡了近9个小时。11点左右起床，去单位吃饭，坐公交车去，中山广场坐112，星星广场下，换108，台州日报社站下，时间还早，先到食堂二楼打十几分钟台球，11点50分许才下楼去排队。大白菜、花椰菜和麻婆豆腐，7元。吃完到市民广场，台州日报社站坐108，市民广场站下，参观 ...全文,2020-01-16,0,0,0
起床,小短腿夏酱,天好冷啊，不想起床（送娃）上学啊。 ,2020-01-17,28,9,0
起床,Dingykkk,起床了，开启帅哥的一天 ,2020-01-18,182,388,0
