关键词,博主,内容,日期,点赞数,评论数,转发数
钟南山,敏从心来,#钟南山谈疫情#口罩走起，加强锻炼。 ,2020-01-21,0,0,0
钟南山,霞勇同心,《【84岁再战防疫最前线！钟南山的两张照片让人肃然起敬！】从广州到武汉再到北京，连日来，84岁的钟南山院士工作和行程安排得满满当当。18日傍晚，84岁的钟南山从广州出发赶往武汉。当天航班已买不到机票，他挤上了傍晚17点开往武汉的高铁列车。由于春运高铁票紧张，他被安顿在了餐车》 ...全文,2020-01-21,0,0,0
钟南山,相忘于江湖可矣,#国内确诊291例新型冠状病毒肺炎病例# #武汉15名医务人员感染新型冠状病毒# #武汉成立疫情防控指挥部# #钟南山肯定新型冠状病毒肺炎人传人#  潜伏期！潜伏期是最难处理的问题！ 向所有医务人员致敬！ 愿平安！,2020-01-21,0,0,0
钟南山,胡锡进,武汉市卫健委今天凌晨通报，有15名医务人员感染了新型冠状病毒肺炎。这么重要的信息，为什么不早点通报？如果钟南山昨晚不说14名医务人员被感染，是不是武汉市卫健委会继续隐去这个信息？之所以这个信息重要，因为它是新型肺炎人传人的关键证据之一，而且它从一个侧面展示了新型冠状病毒人传人的强度 ...全文,2020-01-21,23440,3085,4998
钟南山,追星女孩的日记,#世界卫生组织专家组赴武汉市考察##武汉医生的朋友圈#钟南山院士您一定要照顾好自己的身体，从2003年非典到现在，一直保持在病情的第一线，可又有多少人知道您今年84岁的高龄！一切都会过去的，中国加油 追星女孩的日记的微博视频 ,2020-01-22,51,1,3
钟南山,文起尘,看看新闻，从钟南山院士说出来人传人，至今日不过五天时间。却感觉是许久许久。这次全中国人都感激感谢感恩院士。如果不是他勇于发声，那么今日之中国会是如何?天佑中华。想想19号的万家宴，想想之前被抓的所谓造谣者。湖北政腐武汉政腐啊!总有人德不配位啊，在应该管事的位子上只谋取私利。说句实话， ...全文,2020-01-25,1,0,0
钟南山,霞勇同心,《特写｜钟南山其人》1936年10月出生的钟南山，在84岁高龄再次“挂帅”国家卫健委高级别专家组组长，奋战在新一轮疫情战场的第一线。网页链接 ,2020-01-25,2,0,0
钟南山,霞勇同心,致敬钟南山院士！！！！！ ,2020-01-27,0,0,0
钟南山,帝零零壹,钟南山也是这个时代的英雄，是国家的骄傲,2020-01-28,0,0,0
钟南山,轻寒未霜,我分享了文章 钟南山发话前，武汉这位医生向附近学校发出疫情警报 ,2020-01-28,0,0,0
钟南山,澄泓-研究君,#钟南山强调目前不要出行# 下午去小区超市看了下，方便面和榨菜基本暂时断货，节后买啥股票，应该比较清楚了。。对了，据说腾讯仅一款游戏1月流水已经20多亿了。。别忘了#全国卫视减少娱乐性节目##50个抗击疫情好消息# ,2020-01-28,32,6,9
钟南山,侃侃而谈zp,#钟南山 有信心防止大爆发#   中央有信心，钟南山院士老人家有信心，国际上还有百姓才会有信心      估计再两个星期，疫情防控会出现明显的拐点式好转吧。那个时候就可以松一大口气说“借问瘟君欲何往，纸船明烛照天烧”了吧[加油]       现在正是最吃紧的时候，继续努力吧💪💪 ,2020-01-28,8,0,0
钟南山,侃侃而谈zp,#钟南山强调目前不要出行#  钟南山强调目前不要出行，预计疫情还有一星期或十天左右达到高峰🙏      钟南山院士这样说道：“春节前我说过，请大家目前不要到处跑。现在我还是强调大家不要出行，特别是武汉一带的，这不仅仅是个人的事情，也是全社会的事情。”珍爱自己及家人的生命健康安全，大家还 ...全文,2020-01-28,1,0,0
钟南山,侃侃而谈zp,#钟南山强调目前不要出行#  钟南山强调目前不要出行，这个时候还是要听听钟院士的意见，老人家一片苦口婆心，菩萨心肠🙏    静下来有静下来的风景和收获，只能动不能静，人就心浮气躁了    有句俗话说得好“不听老人言，吃亏在眼前”，大家再坚持几天吧，等到立春再出门欣赏欣赏早春风 ...全文,2020-01-28,3,0,0
